id,equipment_skill_limitation_set_id,type,conditions
1,1,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 1}"
2,2,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 2}"
3,3,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 4}"
4,4,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 8}"
5,5,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 16}"
6,6,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 31}"
7,7,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 4096}"
8,8,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 8192}"
9,9,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 16384}"
10,10,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 32768}"
11,11,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 65536}"
12,12,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 126976}"
13,13,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 131072}"
14,14,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 262144}"
15,15,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 524288}"
16,16,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 1048576}"
17,17,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 2097152}"
18,18,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 4063232}"
19,19,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"": [38]}"
20,20,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"": [39]}"
21,21,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"": [40]}"
22,22,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [27]}"
23,23,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1019161, 1019170, 1019171]}"
24,24,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1019191, 1019200, 1019201]}"
25,25,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1019081, 1019090, 1019091]}"
26,26,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1019231, 1019240, 1019241]}"
27,27,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1019211, 1019220, 1019221]}"
28,28,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [1]}"
29,29,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [2]}"
30,30,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [4]}"
31,31,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [5]}"
32,32,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [7]}"
33,33,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [8]}"
34,34,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [9]}"
35,35,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [10]}"
36,36,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [22]}"
37,37,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [6]}"
38,38,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [12]}"
39,39,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [13]}"
40,40,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [23]}"
41,41,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [15]}"
42,42,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [16]}"
43,43,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [19]}"
44,44,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [20]}"
45,45,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [21]}"
46,46,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [17]}"
47,47,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [14]}"
48,48,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1013041, 1013050, 1013051]}"
49,49,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1013061, 1013070, 1013071]}"
50,50,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1013081, 1013090, 1013091]}"
51,51,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1013021, 1013030, 1013031]}"
52,52,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1013001, 1013010, 1013011]}"
53,53,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"": [17, 30]}"
54,54,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [22]}"
55,55,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [24]}"
56,56,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [26]}"
57,57,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [29]}"
58,58,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [30]}"
59,59,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1011661, 1012390, 1012391, 1011680, 1011681]}"
60,60,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [31]}"
61,61,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [29]}"
62,62,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [16]}"
63,63,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [33]}"
64,64,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1019161, 1019170, 1019171, 1019191, 1019200, 1019201, 1019081, 1019090, 1019091, 1019231, 1019240, 1019241, 1019211, 1019220, 1019221]}"
65,65,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1013041, 1013050, 1013051, 1013061, 1013070, 1013071, 1013081, 1013090, 1013091, 1013021, 1013030, 1013031, 1013001, 1013010, 1013011]}"
66,66,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [36]}"
67,67,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1005181, 1010250, 1010251]}"
68,68,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [46]}"
69,69,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [47]}"
70,70,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [88]}"
71,71,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [48]}"
72,72,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [90]}"
73,73,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [2, 9]}"
74,74,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1005271, 1005280, 1005281]}"
75,75,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1002801, 1005050, 1005051]}"
76,76,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1009421, 1009430, 1009431]}"
77,77,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1009821, 1009830, 1009831]}"
78,78,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1012881, 1012890, 1012891, 1012900, 1012901]}"
79,79,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1012911, 1012920, 1012921, 1012930, 1012931]}"
80,80,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1015741, 1015750, 1015751, 1014210, 1014211]}"
81,81,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1015761, 1015770, 1015771, 1014220, 1014221]}"
82,82,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1018631, 1018640, 1018641, 1018650, 1018651]}"
83,83,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1018601, 1018610, 1018611, 1018620, 1018621]}"
84,84,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1020321, 1020330, 1020331, 1020340, 1020341]}"
85,85,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1020291, 1020300, 1020301, 1020310, 1020311]}"
86,86,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1022361, 1022370, 1022371, 1022380, 1022381]}"
87,87,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1022401, 1022410, 1022411, 1022420, 1022421]}"
88,88,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1025711, 1025720, 1025721, 1025730, 1025731]}"
89,89,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1025751, 1025760, 1025761, 1025770, 1025771]}"
90,90,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [49]}"
91,91,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1012360, 1012361]}"
92,92,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [50]}"
93,93,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [51]}"
94,94,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [52]}"
95,95,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [53]}"
96,96,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [54]}"
97,97,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [38]}"
98,98,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [55]}"
99,99,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1027241, 1027250, 1027251]}"
100,100,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1027401, 1027410, 1027411, 1027600, 1027601]}"
101,101,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [74]}"
102,102,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [57]}"
103,103,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [42]}"
104,104,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [61]}"
105,105,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [28]}"
106,106,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [43]}"
107,108,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [35]}"
109,109,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [92]}"
110,110,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1027961, 1027970, 1027971, 1027980, 1027981]}"
111,111,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1028351, 1028360, 1028361, 1028370, 1028371]}"
112,112,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [80]}"
113,113,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [40]}"
114,114,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1028001, 1028010, 1028011, 1028020, 1028021]}"
115,115,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1028301, 1028310, 1028311, 1028320, 1028321]}"
116,116,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1025541, 1025550, 1025551, 1025560, 1025561]}"
117,117,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1025571, 1025580, 1025581, 1025590, 1025591]}"
118,118,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1026081, 1026090, 1026091]}"
119,119,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1025501, 1025510, 1025511]}"
120,120,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1025521, 1025530, 1025531]}"
121,121,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1028531, 1028540, 1028541, 1028550, 1028551]}"
122,122,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1018971, 1028600, 1028601]}"
123,123,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1026061, 1026070, 1026071]}"
124,124,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [37]}"
125,125,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"": [31]}"
126,126,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [75]}"
127,127,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [39]}"
128,128,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [82]}"
129,129,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [32]}"
130,130,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [41]}"
131,131,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [45]}"
132,132,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [59]}"
133,133,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [44]}"
134,134,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [34]}"
135,135,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [11]}"
136,136,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1024841, 1024850, 1024851, 1024860, 1024861]}"
137,137,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1024811, 1024820, 1024821, 1024830, 1024831]}"
138,138,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1024871, 1024880, 1024881, 1024890, 1024891]}"
139,139,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1024911, 1024920, 1024921, 1024930, 1024931]}"
140,140,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1029341, 1029350, 1029351, 1029360, 1029361]}"
141,141,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1029381, 1029390, 1029391, 1029400, 1029401]}"
142,142,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [94]}"
143,143,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [69]}"
144,144,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1029451, 1029460, 1029461, 1029470, 1029471]}"
145,145,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1029421, 1029430, 1029431, 1029440, 1029441]}"
146,146,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [85]}"
147,147,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1016851, 1016860, 1016861, 1016870, 1016871]}"
148,148,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1016791, 1016800, 1016801, 1016810, 1016811]}"
149,149,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1010421, 1010430, 1010431, 1010440, 1010441]}"
150,150,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1021661, 1021670, 1021671]}"
151,151,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1021681, 1021690, 1021691]}"
152,152,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1007891, 1019470, 1019471]}"
153,153,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1007881, 1019460, 1019461]}"
154,154,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [2000641, 1003800, 1003801]}"
155,155,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1029631, 1029640, 1029641]}"
156,156,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1029661, 1029670, 1029671]}"
157,157,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1022761, 1022770, 1022771, 1022780, 1022781]}"
158,158,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1030031, 1030040, 1030041]}"
159,159,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1030051, 1030060, 1030061]}"
160,160,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1030071, 1030080, 1030081]}"
161,161,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1030091, 1030100, 1030101]}"
162,162,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1030111, 1030120, 1030121]}"
163,163,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1022171, 1022180, 1022181, 1022190, 1022191]}"
164,164,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1022571, 1022580, 1022581, 1022590, 1022591]}"
165,165,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1029811, 1029820, 1029821, 1029830, 1029831]}"
166,166,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [62]}"
167,167,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [58]}"
168,168,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [25]}"
169,169,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [67]}"
170,170,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1029841, 1029850, 1029851]}"
171,171,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [60]}"
172,172,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1030771, 1030780, 1030781, 1030790, 1030791]}"
173,173,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [83]}"
174,174,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1002801, 1005050, 1005051]}"
175,175,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1005271, 1005280, 1005281]}"
176,176,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1009421, 1009430, 1009431]}"
177,177,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1009821, 1009830, 1009831]}"
178,178,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1030241, 1030670, 1030671]}"
179,179,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1030261, 1030680, 1030681]}"
180,180,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [93]}"
181,181,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1016351, 1016360, 1016361, 1016370, 1016371]}"
182,182,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1016381, 1016390, 1016391, 1016400, 1016401]}"
183,183,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1018861, 1018870, 1018871, 1018880, 1018881]}"
184,184,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1018981, 1018990, 1018991, 1019000, 1019001]}"
185,185,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1021461, 1021470, 1021471, 1021480, 1021481]}"
186,186,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1021411, 1021420, 1021421, 1021430, 1021431]}"
187,187,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [64]}"
188,188,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [63]}"
189,189,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [96]}"
190,190,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [95]}"
191,191,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1008411, 1006790, 1006791]}"
192,192,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1021911, 1021920, 1021921]}"
193,193,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1013821, 1013830, 1013831]}"
194,194,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1030601, 1030610, 1030611]}"
195,195,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1010841, 1010850, 1010851]}"
196,196,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1010051, 1010060, 1010061, 1010070, 1010071]}"
197,197,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1022611, 1022620, 1022621, 1022630, 1022631]}"
198,198,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [66]}"
199,199,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1022361, 1022370, 1022371, 1022380, 1022381]}"
200,200,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1022401, 1022410, 1022411, 1022420, 1022421]}"
201,201,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1023601, 1023610, 1023611, 1023620, 1023621]}"
202,202,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1023501, 1023510, 1023511, 1023520, 1023521]}"
203,203,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1025711, 1025720, 1025721, 1025730, 1025731]}"
204,204,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1025751, 1025760, 1025761, 1025770, 1025771]}"
205,205,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1026111, 1026120, 1026121, 1026130, 1026131]}"
206,206,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1026141, 1026150, 1026151, 1026160, 1026161]}"
207,207,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1028001, 1028010, 1028011, 1028020, 1028021]}"
208,208,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1028301, 1028310, 1028311, 1028320, 1028321]}"
209,209,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1028351, 1028360, 1028361, 1028370, 1028371]}"
210,210,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1027961, 1027970, 1027971, 1027980, 1027981]}"
211,211,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [72]}"
212,212,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1030411, 1030420, 1030421, 1030430, 1030431]}"
213,213,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1030551, 1030560, 1030561, 1030570, 1030571]}"
214,214,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1030321, 1030330, 1030331, 1030340, 1030341]}"
215,215,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1030461, 1030470, 1030471, 1030480, 1030481]}"
216,216,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1030511, 1030520, 1030521, 1030530, 1030531]}"
217,217,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1030371, 1030380, 1030381, 1030390, 1030391]}"
218,218,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [68]}"
219,219,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1022731, 1022740, 1022741, 1022750, 1022751]}"
220,220,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [91]}"
221,221,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [64]}"
222,222,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [77]}"
223,223,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [97]}"
224,224,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [86]}"
225,225,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [79]}"
226,226,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [3]}"
227,227,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1031411, 1031420, 1031421, 1031430, 1031431]}"
228,228,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1031371, 1031380, 1031381, 1031390, 1031391]}"
229,229,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [89]}"
230,230,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1009321, 1009330, 1009331]}"
231,231,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1009341, 1009350, 1009351]}"
232,232,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1024641, 1024650, 1024651, 1024660, 1024661]}"
233,233,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"": [112]}"
234,234,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [2]}"
235,235,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1029031, 1029040, 1029041, 1029050, 1029051]}"
236,236,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1031051, 1031060, 1031061]}"
237,237,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1029721, 1029730, 1029731]}"
238,238,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1029561, 1029570, 1029571]}"
239,239,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1028481, 1028490, 1028491]}"
240,240,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1011621, 1011630, 1011631, 1011640, 1011641]}"
241,241,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1031481, 1031491, 1031500, 1031501]}"
242,242,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1031451, 1031461, 1031470, 1031471]}"
243,243,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1031821]}"
244,244,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [84]}"
245,245,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [87]}"
246,246,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1006411, 1008710, 1008711]}"
247,247,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1020981, 1020990, 1020991]}"
248,248,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1024531, 1024540, 1024541, 1024550, 1024551]}"
249,249,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1021121, 1021130, 1021131, 1021140, 1021141]}"
250,250,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1031701, 1031710, 1031711, 1031720, 1031721]}"
251,251,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1031901, 1031910, 1031911, 1031920, 1031921]}"
252,252,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1031951, 1031960, 1031961]}"
253,253,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1031991, 1032000, 1032001, 1032010, 1032011]}"
254,254,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [70]}"
256,256,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [73]}"
